County,City,Population
Los Angeles,Pico Rivera,59177
Alameda,Piedmont,10602
Contra Costa,Pinole,17460
San Luis Obispo,Pismo Beach,7669
Contra Costa,Pittsburg,47564
Orange,Placentia,41259
El Dorado,Placerville,8355
Contra Costa,Pleasant Hill,31585
Alameda,Pleasanton,50553
Amador,Plymouth,811
Mendocino,Point Arena,407
Los Angeles,Pomona,131723
Ventura,Port Hueneme,20319
Tulare,Porterville,29563
Plumas,Portola,2193
San Mateo,Portola Valley,4194
San Diego,Poway,43516
San Bernardino,Rancho Cucamonga,101409
Riverside,Rancho Mirage,9778
Los Angeles,Rancho Palos Verdes,41659
Tehama,Red Bluff,12363
Shasta,Redding,66462
San Bernardino,Redlands,60394
Los Angeles,Redondo Beach,60167
San Mateo,Redwood City,66072
Fresno,Reedley,15791
San Bernardino,Rialto,72388
Contra Costa,Richmond,87425
Kern,Ridgecrest,27725
Humboldt,Rio Dell,3012
Solano,Rio Vista,3316
San Joaquin,Ripon,7455
Stanislaus,Riverbank,8547
Riverside,Riverside,226505
Placer,Rocklin,19033
Sonoma,Rohnert Park,36326
Los Angeles,Rolling Hills,1871
Los Angeles,Rolling Hills Estates,7789
Los Angeles,Rosemead,51638
Placer,Roseville,44685
Marin,Ross,2123
Sacramento,Sacramento,369365
Monterey,Salinas,108777
Marin,San Anselmo,11743
San Bernardino,San Bernardino,164164
San Mateo,San Bruno,38961
San Mateo,San Carlos,26167
Orange,San Clemente,41100
San Diego,San Diego,1110549
Los Angeles,San Dimas,32397
Los Angeles,San Fernando,22580
San Francisco,San Francisco,723959
Los Angeles,San Gabriel,37120
Riverside,San Jacinto,16210
Fresno,San Joaquin,2311
Santa Clara,San Jose,782248
San Benito,San Juan Bautista,1570
Orange,San Juan Capistrano,26183
Alameda,San Leandro,68223
San Luis Obispo,San Luis Obispo,41958
San Diego,San Marcos,38974
Los Angeles,San Marino,12959
San Mateo,San Mateo,85486
Contra Costa,San Pablo,25158
Marin,San Rafael,48404
Contra Costa,San Ramon,35303
Monterey,Sand City,192
Fresno,Sanger,16839
Orange,Santa Ana,293742
Santa Barbara,Santa Barbara,85571
Santa Clara,Santa Clara,93613
Los Angeles,Santa Clarita,110642
Santa Cruz,Santa Cruz,49040
Los Angeles,Santa Fe Springs,15520
Santa Barbara,Santa Maria,61284
Los Angeles,Santa Monica,86905
Ventura,Santa Paula,25062
Sonoma,Santa Rosa,113313
San Diego,Santee,52902
Santa Clara,Saratoga,28061
Marin,Sausalito,7152
Santa Cruz,Scotts Valley,8615
Orange,Seal Beach,25098
Monterey,Seaside,38901
Sonoma,Sebastopol,7004
Fresno,Selma,14757
Kern,Shafter,8409
Los Angeles,Sierra Madre,10762
Los Angeles,Signal Hill,8371
Ventura,Simi Valley,100217
San Diego,Solana Beach,12962
Monterey,Soledad,7146
Santa Barbara,Solvang,4741
Sonoma,Sonoma,8121
Tuolumne,Sonora,4153
Los Angeles,South El Monte,20850
Los Angeles,South Gate,86284
El Dorado,South Lake Tahoe,21586
Los Angeles,South Pasadena,23936
San Mateo,South San Francisco,54312
Napa,St. Helena,4990
Orange,Stanton,30491
San Joaquin,Stockton,210943
Solano,Suisun City,22686
Santa Clara,Sunnyvale,117229
Lassen,Susanville,7279
Amador,Sutter Creek,1835
Kern,Taft,5902
Kern,Tehachapi,5791
Tehama,Tehama,401
Riverside,Temecula,27099
Los Angeles,Temple City,31100
Ventura,Thousand Oaks,104352
Marin,Tiburon,7532
Los Angeles,Torrance,133107
San Joaquin,Tracy,33558
Humboldt,Trinidad,362
Tulare,Tulare,33249
Siskiyou,Tulelake,1010
Stanislaus,Turlock,42198
Orange,Tustin,50689
San Bernardino,Twentynine Palms,11821
Mendocino,Ukiah,14599
Alameda,Union City,53762
San Bernardino,Upland,63374
Solano,Vacaville,71479
Solano,Vallejo,109199
Ventura,Ventura,92575
Los Angeles,Vernon,152
San Bernardino,Victorville,40674
Orange,Villa Park,6299
Tulare,Visalia,75636
San Diego,Vista,71872
Los Angeles,Walnut,29105
Contra Costa,Walnut Creek,60569
Kern,Wasco,12412
Stanislaus,Waterford,4771
Santa Cruz,Watsonville,31099
Siskiyou,Weed,3062
Los Angeles,West Covina,96086
Los Angeles,West Hollywood,36118
Yolo,West Sacramento,28898
Los Angeles,Westlake Village,7455
Orange,Westminster,78118
Imperial,Westmorland,1380
Yuba,Wheatland,1631
Los Angeles,Whittier,77671
Colusa,Williams,2297
Mendocino,Willits,5027
Glenn,Willows,5988
Yolo,Winters,4639
Tulare,Woodlake,5678
Yolo,Woodland,39802
San Mateo,Woodside,5035
Orange,Yorba Linda,52422
Napa,Yountville,3259
Siskiyou,Yreka,6948
Sutter,Yuba City,27437
San Bernardino,Yucaipa,32824
